N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
8000,1,4,4,1,109491.0,109599.0,6473351
8000,1,4,4,4,68684.1,68782.9,6473351
8000,1,4,4,8,61881.3,61985.8,6473351
8000,1,4,8,1,52799.9,52905.3,6473351
8000,1,4,8,4,37654.5,37774.0,6473351
8000,1,4,8,8,34169.7,34276.1,6473351
8000,1,4,10,1,53022.9,53131.9,6473351
8000,1,4,10,4,32038.7,32157.3,6473351
8000,1,4,10,8,29295.1,29408.0,6473351
8000,1,4,12,1,45640.9,45755.5,6473351
8000,1,4,12,4,28262.6,28378.6,6473351
8000,1,4,12,8,28234.1,28353.1,6473351
8000,1,4,16,1,81090.1,81215.4,6473351
8000,1,4,16,4,27687.8,27806.8,6473351
8000,1,4,16,8,26628.6,26750.2,6473351
8000,1,4,20,1,80316.7,80436.7,6473351
8000,1,4,20,4,25971.2,26100.4,6473351
8000,1,4,20,8,25579.3,25694.3,6473351
8000,1,4,24,1,29771.1,29916.4,6473351
8000,1,4,24,4,25618.3,25745.8,6473351
8000,1,4,24,8,25663.7,25801.1,6473351
8000,1,4,32,1,80300.4,80449.0,6473351
8000,1,4,32,4,26214.1,26373.0,6473351
8000,1,4,32,8,27437.6,27590.0,6473351
8000,1,4,48,1,80345.7,80529.7,6473351
8000,1,4,48,4,30972.2,31146.0,6473351
8000,1,4,48,8,33330.1,33525.4,6473351
8000,1,4,64,1,31388.1,31603.5,6473351
8000,1,4,64,4,36299.4,36509.8,6473351
8000,1,4,64,8,40221.3,40432.2,6473351
